partei,zh-japroz,be-japroz,lu-japroz,ur-japroz,sz-japroz,ow-japroz,nw-japroz,gl-japroz,zg-japroz,fr-japroz,so-japroz,bs-japroz,bl-japroz,sh-japroz,ar-japroz,ai-japroz,sg-japroz,gr-japroz,ag-japroz,tg-japroz,ti-japroz,vd-japroz,vs-japroz,ne-japroz,ge-japroz,ju-japroz
p-kkjpd,16.346666666666664,14.776666666666666,14.316666666666665,7.580000000000001,6.05,7.773333333333333,10.163333333333332,9.166666666666666,13.406666666666668,15.119999999999997,11.873333333333335,16.419999999999998,13.93,9.64333333333333,10.306666666666667,5.739999999999999,11.483333333333333,12.773333333333335,11.663333333333332,9.856666666666667,4.136666666666666,21.44666666666667,10.813333333333334,18.150000000000002,11.839999999999998,14.136666666666665
p-kvp,-1.4865467625899282,-1.1138848920863311,-1.1006474820143883,0.07446043165467638,0.060431654676259036,-0.583525179856115,-0.863525179856115,-0.13776978417266175,-1.562877697841726,-0.7595683453237411,-0.7646762589928058,-2.0329496402877703,-1.3358992805755399,0.1377697841726625,-0.1333093525179856,0.3450359712230213,-0.2600000000000002,-1.374172661870504,-0.3793525179856114,0.2768345323741006,-1.1778417266187056,-1.6215827338129496,-0.22669064748201395,-1.2653237410071942,-1.8634532374100723,-1.1067625899280573
p-ldk,24.7,26.17,31.76,32.42,36.38,36.06,37.18,32.28,34.16,25.08,27.75,12.32,26.38,24.48,31.44,37.9,31.66,31.8,30.75,32.230000000000004,18.01,21.54,31.95,18.11,16.04,14.14
p-ldu,9.314281524926686,6.430674486803519,5.660557184750733,4.3202052785923755,1.8055425219941348,3.014516129032258,4.265483870967742,5.2466568914956015,6.77266862170088,3.478240469208211,5.945865102639296,11.572375366568915,9.17258064516129,6.48574780058651,5.703431085043988,2.28266862170088,6.1484457478005865,5.248240469208211,4.866422287390029,4.258445747800586,6.730967741935483,4.801202346041056,1.0048680351906158,6.261583577712609,8.96624633431085,5.067445652173913
p-lega,1.6302155172413795,1.8881465517241378,3.278879310344828,4.660387931034483,6.782974137931035,5.299655172413793,4.99771551724138,4.889310344827586,3.2088793103448277,3.1774137931034487,4.238318965517241,-0.44715517241379293,2.543362068965517,3.7113362068965516,3.740129310344827,5.642241379310345,4.1425431034482765,2.7598706896551723,4.842672413793103,4.760862068965517,6.421681034482758,1.2757758620689654,4.811637931034483,0.9979741379310345,0.7011206896551726,1.7334482758620688
p-lps,9.805650969529086,9.52551246537396,10.874570637119113,8.70426592797784,9.506897506925208,12.131246537396121,11.948504155124652,10.353074792243767,11.925180055401661,11.583047091412741,8.795457063711911,7.7357340720221615,9.385152354570637,8.84623268698061,10.097202216066483,12.743157894736841,10.426648199445983,10.286565096952907,9.849224376731302,10.719584487534625,7.785373961218837,12.748504155124653,12.061024930747921,10.234875346260388,11.097396121883657,6.201529411764706
p-mcg,3.7521739130434786,4.405434782608696,5.795,6.674347826086956,8.351956521739131,7.775652173913044,8.380652173913044,6.561521739130434,6.819999999999999,6.716086956521739,6.115652173913043,1.6289130434782606,5.325652173913043,5.33304347826087,4.611086956521739,6.958478260869565,5.801521739130435,5.564130434782609,6.75,6.087826086956523,8.636521739130435,7.1071739130434795,7.483043478260869,5.478695652173914,6.09304347826087,5.403695652173913
p-mitte,11.362689768976898,11.052046204620462,12.340874587458746,10.490264026402642,8.322739273927393,11.684653465346534,12.306023102310231,10.412376237623763,12.65930693069307,12.761501650165018,10.26042904290429,10.906320132013201,10.65585808580858,9.303102310231024,9.31983498349835,11.938283828382838,11.068630363036304,13.06986798679868,9.821534653465347,10.91420792079208,11.143547854785478,12.177524752475247,11.04374587458746,10.495775577557755,11.818745874587458,8.113065326633166
p-pda,0.28885177453027117,-0.001983298538622373,-2.2432985386221294,-2.55776617954071,-4.433590814196243,-4.612526096033403,-4.183277661795407,-3.0169102296450943,-2.178329853862213,0.26826722338204606,-0.7366179540709812,4.786033402922756,1.452964509394572,-0.2594363256784968,-2.830438413361169,-6.194906054279749,-2.783048016701461,-1.5040292275574112,-2.3768267223382047,-3.4835908141962424,2.196367432150313,2.671043841336117,-1.5103966597077245,4.359561586638831,6.70697286012526,5.817326203208555
p-poch,-2.5660975609756096,-3.548048780487805,-4.53,-3.2998373983739837,-6.501056910569106,-7.070569105691057,-6.8308130081300815,-5.394390243902439,-5.315934959349594,-4.246341463414634,-2.7808943089430893,2.8686991869918694,-0.39357723577235804,-2.892764227642276,-6.6919512195121955,-10.05479674796748,-5.797560975609756,-4.846829268292683,-5.4765853658536585,-6.83130081300813,0.700081300813008,-2.5110569105691054,-7.482845528455284,-0.18138211382113817,2.2130081300813007,2.4701219512195123
